,0
0,Arizona
1,Arkansas
2,Colorado
3,Delaware
4,Hawaii
5,Idaho
6,Illinois
7,Indiana
8,Iowa
9,Kansas
10,Kentucky
11,Louisiana
12,Maine
13,Massachusetts
14,Minnesota
15,Mississippi
16,Missouri
17,Montana
18,Nebraska
19,New Hampshire
20,New Jersey
21,New Mexico
22,New York
23,North Carolina
24,North Dakota
25,Ohio
26,Oklahoma
27,Oregon
28,Pennsylvania
29,Rhode Island
30,South Carolina
31,South Dakota
32,Tennessee
33,Texas
34,Utah
35,Vermont
36,Virginia
37,Washington
38,West Virginia
39,Wisconsin
40,Wyoming
